name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	300	0	300	70	-1	70	2980	-1	2980	201	-1	201	389	-1	389	460	-1	460	2330	-1	2330	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	300	100	2	-1	2
request_2	10	0	10	70	-1	70	120	-1	120	90	-1	90	16	-1	16	120	-1	120	120	-1	120	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	10	100	0	-1	0
request_3	10	0	10	70	-1	70	190	-1	190	110	-1	110	30	-1	30	190	-1	190	190	-1	190	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	10	100	0	-1	0
request_10	10	0	10	70	-1	70	240	-1	240	162	-1	162	64	-1	64	240	-1	240	240	-1	240	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	10	100	0	-1	0
request_1	10	0	10	140	-1	140	770	-1	770	241	-1	241	178	-1	178	770	-1	770	770	-1	770	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	10	100	0	-1	0
request_6	50	0	50	70	-1	70	2960	-1	2960	249	-1	249	499	-1	499	810	-1	810	2960	-1	2960	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	50	100	0	-1	0
request_7	50	0	50	70	-1	70	2330	-1	2330	256	-1	256	506	-1	506	2010	-1	2010	2330	-1	2330	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	50	100	0	-1	0
request_4	50	0	50	70	-1	70	530	-1	530	130	-1	130	94	-1	94	380	-1	380	530	-1	530	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	50	100	0	-1	0
request_5	50	0	50	70	-1	70	2520	-1	2520	243	-1	243	441	-1	441	460	-1	460	2520	-1	2520	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	50	100	0	-1	0
request_8	50	0	50	70	-1	70	2980	-1	2980	174	-1	174	416	-1	416	270	-1	270	2980	-1	2980	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	50	100	0	-1	0
request_9	10	0	10	70	-1	70	240	-1	240	155	-1	155	57	-1	57	240	-1	240	240	-1	240	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	10	100	0	-1	0

